tag,stem,mode,observable,phase,n_steps,slope_true_per_s,slope_pred_per_s,slope_naive_per_s
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,rollout,mean,negative_current,512,3.65409893384446e-07,-5.383147593331112e-05,2.325048961131679e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,rollout,p95,negative_current,512,7.310052861062411e-07,2.870868199728571e-05,-6.20013056301781e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,rollout,bright_frac90,negative_current,512,8.139019526070584e-07,3.529914367618126e-06,-6.642997031804797e-21
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,rollout,mean,negative_current,512,2.354665671830219e-07,-4.627856390205741e-05,3.321498515902399e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,rollout,p95,negative_current,512,-2.4730645900888798e-06,-6.948498983634532e-05,5.3143976254438374e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,rollout,bright_frac90,negative_current,512,-3.70128145446711e-06,-2.427870164584009e-06,4.428664687869865e-21
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,rollout,mean,negative_current,512,-4.3222710213227454e-07,-4.299575834125095e-05,1.5500326407544526e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,rollout,p95,negative_current,512,-4.6809114227357486e-06,-8.746234932893035e-05,1.771465875147946e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,rollout,bright_frac90,negative_current,512,-5.566149357576111e-07,-4.664284648904286e-06,1.3285994063609593e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,rollout,mean,negative_current,512,-3.2073128809047886e-06,-5.689555995512373e-05,4.650097922263358e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,rollout,p95,negative_current,512,-1.3223871864359145e-05,-0.0001026812860152581,-7.085863500591784e-20
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,rollout,bright_frac90,negative_current,512,-6.284922566272294e-06,-2.5975929155505517e-06,-2.2143323439349326e-21
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,rollout,mean,negative_current,487,-4.724146973201428e-07,-6.005493248669482e-06,0.0
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,rollout,p95,negative_current,487,-9.373561589182794e-07,0.00021483690980473647,1.9090354101516748e-20
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,rollout,bright_frac90,negative_current,487,-1.0704233749227548e-06,1.597950889859572e-05,7.158882788068782e-21
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,rollout,mean,negative_current,487,-2.2971232605601453e-07,-3.857204101601035e-05,-1.2528044879120367e-20
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,rollout,p95,negative_current,487,-1.0304791328802411e-06,-5.252415128453033e-05,-6.681623935530863e-20
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,rollout,bright_frac90,negative_current,487,-1.6286107522346768e-06,-5.5772232593359e-08,-5.965735656723984e-21
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,rollout,mean,negative_current,487,-1.417449923544496e-06,-4.866745432513457e-05,-1.4317765576137564e-20
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,rollout,p95,negative_current,487,-2.818570080096275e-06,-8.944976042850032e-05,-9.545177050758374e-21
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,rollout,bright_frac90,negative_current,487,-1.3700851080559205e-06,-3.05648859917492e-06,0.0
